# 楼栋表：name|alias|collegeCode|managerId|floorCount|hasBathroom|gender
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋||01||12|true|男
01B栋||01||3|true|女
02A栋||02||12|true|男
02B栋||02||3|true|女
03A栋||03||12|true|男
03B栋||03||3|true|女
04A栋||04||12|true|男
04B栋||04||3|true|女
05A栋||05||12|true|男
05B栋||05||3|true|女
06A栋||06||12|true|男
06B栋||06||3|true|女
07A栋||07||12|true|男
07B栋||07||3|true|女
08A栋||08||12|true|男
08B栋||08||3|true|女
09A栋||09||3|true|男
09B栋||09||12|true|女
10A栋||10||12|true|男
10B栋||10||3|true|女
11A栋||11||12|true|男
11B栋||11||3|true|女
12A栋||12||3|true|男
12B栋||12||12|true|女
13A栋||13||3|true|男
13B栋||13||12|true|女
14A栋||14||3|true|男
14B栋||14||12|true|女
15A栋||15||3|true|男
15B栋||15||12|true|女
16A栋||16||3|true|男
16B栋||16||12|true|女
20A栋||20||15|true|男
20B栋||20||4|true|女
天骄苑1栋||||3|true|男
天骄苑2栋||||3|true|女
