# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=24011109;2=24011110;3=24011111;4=24011112
01A栋|102|1|4|1=24011113;2=24011114;3=24011115;4=24011116
01A栋|103|1|4|1=24011117;2=24011118;3=24011119;4=24011120
01A栋|104|1|4|1=24011121;2=24011122;3=24011123;4=24011124
01A栋|105|1|4|1=24011125;2=24011126;3=24011127;4=24011128
01A栋|106|1|4|1=24011129;2=24011130;3=24011131;4=24011132
01A栋|107|1|4|1=24011133;2=24011134;3=24011135;4=24011136
01A栋|108|1|4|1=24011137;2=24011138;3=24011139;4=24011140
01A栋|109|1|4|1=24011209;2=24011210;3=24011211;4=24011212
01A栋|110|1|4|1=24011213;2=24011214;3=24011215;4=24011216
01A栋|111|1|4|1=24011217;2=24011218;3=24011219;4=24011220
01A栋|112|1|4|1=24011221;2=24011222;3=24011223;4=24011224
01A栋|113|1|4|1=24011225;2=24011226;3=24011227;4=24011228
01A栋|114|1|4|1=24011229;2=24011230;3=24011231;4=24011232
01A栋|115|1|4|1=24011233;2=24011234;3=24011235;4=24011236
01A栋|116|1|4|1=24011237;2=24011238;3=24011239;4=24011240
01A栋|117|1|4|1=24011309;2=24011310;3=24011311;4=24011312
01A栋|118|1|4|1=24011313;2=24011314;3=24011315;4=24011316
01A栋|119|1|4|1=24011317;2=24011318;3=24011319;4=24011320
01A栋|120|1|4|1=24011321;2=24011322;3=24011323;4=24011324
01A栋|121|1|4|1=24011325;2=24011326;3=24011327;4=24011328
01A栋|122|1|4|1=24011329;2=24011330;3=24011331;4=24011332
01A栋|123|1|4|1=24011333;2=24011334;3=24011335;4=24011336
01A栋|124|1|4|1=24011337;2=24011338;3=24011339;4=24011340
01A栋|125|1|4|1=24011409;2=24011410;3=24011411;4=24011412
01A栋|126|1|4|1=24011413;2=24011414;3=24011415;4=24011416
01A栋|127|1|4|1=24011417;2=24011418;3=24011419;4=24011420
01A栋|128|1|4|1=24011421;2=24011422;3=24011423;4=24011424
01A栋|129|1|4|1=24011425;2=24011426;3=24011427;4=24011428
01A栋|130|1|4|1=24011429;2=24011430;3=24011431;4=24011432
01A栋|131|1|4|1=24011433;2=24011434;3=24011435;4=24011436
01A栋|132|1|4|1=24011437;2=24011438;3=24011439;4=24011440
01A栋|133|1|4|1=24012109;2=24012110;3=24012111;4=24012112
01A栋|134|1|4|1=24012113;2=24012114;3=24012115;4=24012116
01A栋|135|1|4|1=24012117;2=24012118;3=24012119;4=24012120
01A栋|136|1|4|1=24012121;2=24012122;3=24012123;4=24012124
01A栋|137|1|4|1=24012125;2=24012126;3=24012127;4=24012128
01A栋|138|1|4|1=24012129;2=24012130;3=24012131;4=24012132
01A栋|139|1|4|1=24012133;2=24012134;3=24012135;4=24012136
01A栋|140|1|4|1=24012137;2=24012138;3=24012139;4=24012140
01A栋|141|1|4|1=24012209;2=24012210;3=24012211;4=24012212
01A栋|142|1|4|1=24012213;2=24012214;3=24012215;4=24012216
01A栋|143|1|4|1=24012217;2=24012218;3=24012219;4=24012220
01A栋|144|1|4|1=24012221;2=24012222;3=24012223;4=24012224
01A栋|145|1|4|1=24012225;2=24012226;3=24012227;4=24012228
01A栋|201|2|4|1=24012229;2=24012230;3=24012231;4=24012232
01A栋|202|2|4|1=24012233;2=24012234;3=24012235;4=24012236
01A栋|203|2|4|1=24012237;2=24012238;3=24012239;4=24012240
01A栋|204|2|4|1=24012309;2=24012310;3=24012311;4=24012312
01A栋|205|2|4|1=24012313;2=24012314;3=24012315;4=24012316
01A栋|206|2|4|1=24012317;2=24012318;3=24012319;4=24012320
01A栋|207|2|4|1=24012321;2=24012322;3=24012323;4=24012324
01A栋|208|2|4|1=24012325;2=24012326;3=24012327;4=24012328
01A栋|209|2|4|1=24012329;2=24012330;3=24012331;4=24012332
01A栋|210|2|4|1=24012333;2=24012334;3=24012335;4=24012336
01A栋|211|2|4|1=24012337;2=24012338;3=24012339;4=24012340
01A栋|212|2|4|1=24012409;2=24012410;3=24012411;4=24012412
01A栋|213|2|4|1=24012413;2=24012414;3=24012415;4=24012416
01A栋|214|2|4|1=24012417;2=24012418;3=24012419;4=24012420
01A栋|215|2|4|1=24012421;2=24012422;3=24012423;4=24012424
01A栋|216|2|4|1=24012425;2=24012426;3=24012427;4=24012428
01A栋|217|2|4|1=24012429;2=24012430;3=24012431;4=24012432
01A栋|218|2|4|1=24012433;2=24012434;3=24012435;4=24012436
01A栋|219|2|4|1=24012437;2=24012438;3=24012439;4=24012440
01A栋|220|2|4|1=24013109;2=24013110;3=24013111;4=24013112
01A栋|221|2|4|1=24013113;2=24013114;3=24013115;4=24013116
01A栋|222|2|4|1=24013117;2=24013118;3=24013119;4=24013120
01A栋|223|2|4|1=24013121;2=24013122;3=24013123;4=24013124
01A栋|224|2|4|1=24013125;2=24013126;3=24013127;4=24013128
01A栋|225|2|4|1=24013129;2=24013130;3=24013131;4=24013132
01A栋|226|2|4|1=24013133;2=24013134;3=24013135;4=24013136
01A栋|227|2|4|1=24013137;2=24013138;3=24013139;4=24013140
01A栋|228|2|4|1=24013209;2=24013210;3=24013211;4=24013212
01A栋|229|2|4|1=24013213;2=24013214;3=24013215;4=24013216
01A栋|230|2|4|1=24013217;2=24013218;3=24013219;4=24013220
01A栋|231|2|4|1=24013221;2=24013222;3=24013223;4=24013224
01A栋|232|2|4|1=24013225;2=24013226;3=24013227;4=24013228
01A栋|233|2|4|1=24013229;2=24013230;3=24013231;4=24013232
01A栋|234|2|4|1=24013233;2=24013234;3=24013235;4=24013236
01A栋|235|2|4|1=24013237;2=24013238;3=24013239;4=24013240
01A栋|236|2|4|1=24013309;2=24013310;3=24013311;4=24013312
01A栋|237|2|4|1=24013313;2=24013314;3=24013315;4=24013316
01A栋|238|2|4|1=24013317;2=24013318;3=24013319;4=24013320
01A栋|239|2|4|1=24013321;2=24013322;3=24013323;4=24013324
01A栋|240|2|4|1=24013325;2=24013326;3=24013327;4=24013328
01A栋|241|2|4|1=24013329;2=24013330;3=24013331;4=24013332
01A栋|242|2|4|1=24013333;2=24013334;3=24013335;4=24013336
01A栋|243|2|4|1=24013337;2=24013338;3=24013339;4=24013340
01A栋|244|2|4|1=24013409;2=24013410;3=24013411;4=24013412
01A栋|245|2|4|1=24013413;2=24013414;3=24013415;4=24013416
01A栋|301|3|4|1=24013417;2=24013418;3=24013419;4=24013420
01A栋|302|3|4|1=24013421;2=24013422;3=24013423;4=24013424
01A栋|303|3|4|1=24013425;2=24013426;3=24013427;4=24013428
01A栋|304|3|4|1=24013429;2=24013430;3=24013431;4=24013432
01A栋|305|3|4|1=24013433;2=24013434;3=24013435;4=24013436
01A栋|306|3|4|1=24013437;2=24013438;3=24013439;4=24013440
01A栋|307|3|4|1=24014109;2=24014110;3=24014111;4=24014112
01A栋|308|3|4|1=24014113;2=24014114;3=24014115;4=24014116
01A栋|309|3|4|1=24014117;2=24014118;3=24014119;4=24014120
01A栋|310|3|4|1=24014121;2=24014122;3=24014123;4=24014124
01A栋|311|3|4|1=24014125;2=24014126;3=24014127;4=24014128
01A栋|312|3|4|1=24014129;2=24014130;3=24014131;4=24014132
01A栋|313|3|4|1=24014133;2=24014134;3=24014135;4=24014136
01A栋|314|3|4|1=24014137;2=24014138;3=24014139;4=24014140
01A栋|315|3|4|1=24014209;2=24014210;3=24014211;4=24014212
01A栋|316|3|4|1=24014213;2=24014214;3=24014215;4=24014216
01A栋|317|3|4|1=24014217;2=24014218;3=24014219;4=24014220
01A栋|318|3|4|1=24014221;2=24014222;3=24014223;4=24014224
01A栋|319|3|4|1=24014225;2=24014226;3=24014227;4=24014228
01A栋|320|3|4|1=24014229;2=24014230;3=24014231;4=24014232
01A栋|321|3|4|1=24014233;2=24014234;3=24014235;4=24014236
01A栋|322|3|4|1=24014237;2=24014238;3=24014239;4=24014240
01A栋|323|3|4|1=24014309;2=24014310;3=24014311;4=24014312
01A栋|324|3|4|1=24014313;2=24014314;3=24014315;4=24014316
01A栋|325|3|4|1=24014317;2=24014318;3=24014319;4=24014320
01A栋|326|3|4|1=24014321;2=24014322;3=24014323;4=24014324
01A栋|327|3|4|1=24014325;2=24014326;3=24014327;4=24014328
01A栋|328|3|4|1=24014329;2=24014330;3=24014331;4=24014332
01A栋|329|3|4|1=24014333;2=24014334;3=24014335;4=24014336
01A栋|330|3|4|1=24014337;2=24014338;3=24014339;4=24014340
01A栋|331|3|4|1=24014409;2=24014410;3=24014411;4=24014412
01A栋|332|3|4|1=24014413;2=24014414;3=24014415;4=24014416
01A栋|333|3|4|1=24014417;2=24014418;3=24014419;4=24014420
01A栋|334|3|4|1=24014421;2=24014422;3=24014423;4=24014424
01A栋|335|3|4|1=24014425;2=24014426;3=24014427;4=24014428
01A栋|336|3|4|1=24014429;2=24014430;3=24014431;4=24014432
01A栋|337|3|4|1=24014433;2=24014434;3=24014435;4=24014436
01A栋|338|3|4|1=24014437;2=24014438;3=24014439;4=24014440
01A栋|339|3|4|1=25011109;2=25011110;3=25011111;4=25011112
01A栋|340|3|4|1=25011113;2=25011114;3=25011115;4=25011116
01A栋|341|3|4|1=25011117;2=25011118;3=25011119;4=25011120
01A栋|342|3|4|1=25011121;2=25011122;3=25011123;4=25011124
01A栋|343|3|4|1=25011125;2=25011126;3=25011127;4=25011128
01A栋|344|3|4|1=25011129;2=25011130;3=25011131;4=25011132
01A栋|345|3|4|1=25011133;2=25011134;3=25011135;4=25011136
01A栋|401|4|4|1=25011137;2=25011138;3=25011139;4=25011140
01A栋|402|4|4|1=25011209;2=25011210;3=25011211;4=25011212
01A栋|403|4|4|1=25011213;2=25011214;3=25011215;4=25011216
01A栋|404|4|4|1=25011217;2=25011218;3=25011219;4=25011220
