# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号|electricityBalance
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=23011109;2=23011110;3=23011111;4=23011112|0.0
01A栋|102|1|4|1=23011113;2=23011114;3=23011115;4=23011116|0.0
01A栋|103|1|4|1=23011117;2=23011118;3=23011119;4=23011120|0.0
01A栋|104|1|4|1=23011121;2=23011122;3=23011123;4=23011124|0.0
01A栋|105|1|4|1=23011125;2=23011126;3=23011127;4=23011128|0.0
01A栋|106|1|4|1=23011129;2=23011130;3=23011131;4=23011132|0.0
01A栋|107|1|4|1=23011133;2=23011134;3=23011135;4=23011136|0.0
01A栋|108|1|4|1=23011137;2=23011138;3=23011139;4=23011140|0.0
01A栋|109|1|4|1=23011209;2=23011210;3=23011211;4=23011212|0.0
01A栋|110|1|4|1=23011213;2=23011214;3=23011215;4=23011216|0.0
01A栋|111|1|4|1=23011217;2=23011218;3=23011219;4=23011220|0.0
01A栋|112|1|4|1=23011221;2=23011222;3=23011223;4=23011224|0.0
01A栋|113|1|4|1=23011225;2=23011226;3=23011227;4=23011228|0.0
01A栋|114|1|4|1=23011229;2=23011230;3=23011231;4=23011232|0.0
01A栋|115|1|4|1=23011233;2=23011234;3=23011235;4=23011236|0.0
01A栋|116|1|4|1=23011237;2=23011238;3=23011239;4=23011240|0.0
01A栋|117|1|4|1=23011309;2=23011310;3=23011311;4=23011312|0.0
01A栋|118|1|4|1=23011313;2=23011314;3=23011315;4=23011316|0.0
01A栋|119|1|4|1=23011317;2=23011318;3=23011319;4=23011320|0.0
01A栋|120|1|4|1=23011321;2=23011322;3=23011323;4=23011324|0.0
01A栋|121|1|4|1=23011325;2=23011326;3=23011327;4=23011328|0.0
01A栋|122|1|4|1=23011329;2=23011330;3=23011331;4=23011332|0.0
01A栋|123|1|4|1=23011333;2=23011334;3=23011335;4=23011336|0.0
01A栋|124|1|4|1=23011337;2=23011338;3=23011339;4=23011340|0.0
01A栋|125|1|4|1=23011409;2=23011410;3=23011411;4=23011412|0.0
01A栋|126|1|4|1=23011413;2=23011414;3=23011415;4=23011416|0.0
01A栋|127|1|4|1=23011417;2=23011418;3=23011419;4=23011420|0.0
01A栋|128|1|4|1=23011421;2=23011422;3=23011423;4=23011424|0.0
01A栋|129|1|4|1=23011425;2=23011426;3=23011427;4=23011428|0.0
01A栋|130|1|4|1=23011429;2=23011430;3=23011431;4=23011432|0.0
01A栋|131|1|4|1=23011433;2=23011434;3=23011435;4=23011436|0.0
01A栋|132|1|4|1=23011437;2=23011438;3=23011439;4=23011440|0.0
01A栋|133|1|4|1=23012109;2=23012110;3=23012111;4=23012112|0.0
01A栋|134|1|4|1=23012113;2=23012114;3=23012115;4=23012116|0.0
01A栋|135|1|4|1=23012117;2=23012118;3=23012119;4=23012120|0.0
01A栋|136|1|4|1=23012121;2=23012122;3=23012123;4=23012124|0.0
01A栋|137|1|4|1=23012125;2=23012126;3=23012127;4=23012128|0.0
01A栋|138|1|4|1=23012129;2=23012130;3=23012131;4=23012132|0.0
01A栋|139|1|4|1=23012133;2=23012134;3=23012135;4=23012136|0.0
01A栋|140|1|4|1=23012137;2=23012138;3=23012139;4=23012140|0.0
01A栋|141|1|4|1=23012209;2=23012210;3=23012211;4=23012212|0.0
01A栋|142|1|4|1=23012213;2=23012214;3=23012215;4=23012216|0.0
01A栋|143|1|4|1=23012217;2=23012218;3=23012219;4=23012220|0.0
01A栋|144|1|4|1=23012221;2=23012222;3=23012223;4=23012224|0.0
01A栋|145|1|4|1=23012225;2=23012226;3=23012227;4=23012228|0.0
01A栋|201|2|4|1=23012229;2=23012230;3=23012231;4=23012232|0.0
01A栋|202|2|4|1=23012233;2=23012234;3=23012235;4=23012236|0.0
